INPUT,TARGET
"Quand l’Amour à vos yeux offre un choix agréable,",Jeunes beautés laissez-vous enflammer.
Jeunes beautés laissez-vous enflammer.,"Moquez-vous d’affecter cet orgueil indomptable,"
"Moquez-vous d’affecter cet orgueil indomptable,",Dont on vous dit qu’il est beau de s’armer :
Dont on vous dit qu’il est beau de s’armer :,Dans l’âge où l’on est aimable
Dans l’âge où l’on est aimable,Rien n’est si beau que d’aimer.
Rien n’est si beau que d’aimer.,"Soupirez librement pour un amant fidèle,"
"Soupirez librement pour un amant fidèle,",Et bravez ceux qui voudraient vous blâmer ;
Et bravez ceux qui voudraient vous blâmer ;,"Un cœur tendre est aimable, et le nom de cruelle"
"Un cœur tendre est aimable, et le nom de cruelle",N’est pas un nom à se faire estimer :
N’est pas un nom à se faire estimer :,"Dans le temps où l’on est belle,"
"Dans le temps où l’on est belle,",Rien n’est si beau que d’aimer.
Rien n’est si beau que d’aimer.," Holà ? holà ? debout, debout, debout :"
" Holà ? holà ? debout, debout, debout :",Pour la Chasse ordonnée il faut préparer tout :
Pour la Chasse ordonnée il faut préparer tout :,"Holà ? ho debout, vite debout."
"Holà ? ho debout, vite debout.","Jusqu’aux plus sombres lieux le jour se communique,"
"Jusqu’aux plus sombres lieux le jour se communique,",L’air sur les fleurs en perles se résout.
L’air sur les fleurs en perles se résout.,"Les Rossignols commencent leur Musique,"
"Les Rossignols commencent leur Musique,",Et leurs petits concerts retentissent partout.
Et leurs petits concerts retentissent partout.,"Sus, sus debout, vite debout !"
"Sus, sus debout, vite debout !","Qu’est-ce ci, Lyciscas ? quoi ? tu ronfles encore,"
"Qu’est-ce ci, Lyciscas ? quoi ? tu ronfles encore,",Toi qui promettais tant de devancer l’Aurore ?
Toi qui promettais tant de devancer l’Aurore ?,"Allons debout, vite debout,"
"Allons debout, vite debout,","Pour la Chasse ordonnée il faut préparer tout,"
"Pour la Chasse ordonnée il faut préparer tout,","Debout, vite debout, dépêchons, debout."
"Debout, vite debout, dépêchons, debout.",Ne vois-tu pas le jour qui se répand partout ?
Ne vois-tu pas le jour qui se répand partout ?,"Allons debout, Lyciscas debout."
"Allons debout, Lyciscas debout.","Non, non debout, Lyciscas debout."
"Non, non debout, Lyciscas debout.",Je ne vous demande plus qu’un petit quart d’heure !
Je ne vous demande plus qu’un petit quart d’heure !,"Point, point debout, vite debout."
"Point, point debout, vite debout.",Hé ! je vous prie !
Hé ! je vous prie !,Debout.
Debout.,Un moment.
Un moment.,Debout.
Debout.,De grâce.
De grâce.,Debout.
Debout.,Eh.
Eh.,Debout.
Debout.,Je…
Je…,Debout.
Debout.,"Non, non debout, Lyciscas debout :"
"Non, non debout, Lyciscas debout :",Pour la Chasse ordonnée il faut préparer tout ;
Pour la Chasse ordonnée il faut préparer tout ;,"Vite debout, dépêchons, debout."
"Vite debout, dépêchons, debout.",Lyciscas.
Lyciscas.,Lyciscas.
Lyciscas.,Lyciscas.
Lyciscas.,Lyciscas.
Lyciscas.,"Debout, debout vite debout, dépêchons debout."
"Debout, debout vite debout, dépêchons debout.",Holà ?  oh.
Holà ?  oh.,Holà ? oh.
Holà ? oh.,Holà ? oh.
Holà ? oh.,Oh ! oh ! oh ! oh ! oh !
Oh ! oh ! oh ! oh ! oh !,Debout.
Debout.,Debout.
Debout.,Debout.
Debout.,Ce silence rêveur dont la sombre habitude
Ce silence rêveur dont la sombre habitude,"Vous fait à tous moments chercher la solitude,"
"Vous fait à tous moments chercher la solitude,","Ces longs soupirs que laisse échapper votre cœur,"
