Word 1,Word 2
debout,tout
tout,debout
partout,debout
encore,l’aurore
debout,tout
tout,debout
debout,partout
partout,debout
debout,debout
debout,debout
debout,tout
tout,debout
lyciscas,lyciscas
lyciscas,lyciscas
lyciscas,lyciscas
oh,oh
oh,oh
oh,oh
debout,debout
debout,debout
habitude,solitude
cœur,langueur
âge,langage
risquer,l’expliquer
licence,silence
l’amour,tour
honte,dompte
mouvements,sentiments
âme,flamme
soleils,pareils
visage,témoignage
amoureux,généreux
généreux,monarque
monarque,marque
présumer,d’aimer
belle,elle
cœurs,ardeurs
enfance,l’espérance
lumière,fière
jour,d’amour
invincible,sensible
rempli,accompli
puissance,vengeance
abîmé,aimé
guide,d’élide
charmants,sentiments
fête,conquête
aimer,charmer
charmer,flammes
flammes,âmes
lieux,yeux
yeux,revêtue
revêtue,statue
loisir,désir
rivage,image
cour,l’amour
hautaine,haine
carquois,bois
fatalité,beauté
beauté,naître
naître,maître
maître,secrets
secrets,traits
elle,belle
douceurs,froideurs
victoire,gloire
gloire,s’indigner
s’indigner,régner
régner,puissance
puissance,diligence
enflammés,renommés
renommés,princesse
prenez,obstinez
princesse,adresse
soupirs,désirs
politique,s’explique
amour,jour
peine,hautaine
soumis,ennemis
pyle,inutile
vertus,assidus
silence,violence
fameux,d’eux
fière,lumière
cœur,froideur
presse,tendresse
puissamment,aisément
aisément,indifférence
indifférence,patience
yeux,glorieux
autres,vôtres
appas,pas
caprice,propice
extrémités,rebutés
flamme,âme
pressentir,m’applaudir
confidence,silence
ici,éclairci
l’adore,l’aurore
seigneur,peu
connaître,paraître
aujourd’hui,lui
bouffonneries,plaisanteries
persuader,hasarder
souhaite,parfaite
jour,amour
voix,moi
moi,effroi
redoutable,effroyable
pas,gras
bête,prête
extravagances,complaisances
chasseurs,peurs
chasse,passe
doux,nous
vilaines,humaines
courir,souffrir
tour,jour
récit,dit
dit,dit
pénible,horrible
enharnaché,découché
homme,somme
vue,touffue
touffue,grandeur
frayeur,cause
cause,chose
chose,chassé
chassé,hérissé
menace,grimace
presser,penser
penser,armes
armes,d’alarmes
quatre,l’abattre
consens,sens
dise,prier
prier,sanglier
place,audace
effort,sort
gloire,l’histoire
amis,remis
rencontré,gré
prérogatives,tentatives
délicat,d’état
glorifie,philosophie
philosophie,lien
lien,rien
tigresse,adresse
grands,gens
trame,flamme
belle,cruelle
généreux,dangereux
père,mère
d’aujourd’hui,lui
l’avantage,village
alarmes,charmes
coups,vous
clairement,sentiment
sentiment,puissance
puissance,offense
bonheur,cœur
cœur,murmure
murmure,aventure
extrême,aime
parler,m’ébranler
charmes,armes
emplois,bois
l’espérance,défense
profité,vanité
vanité,quête
quête,bête
coups,vous
gloire,croire
d’aujourd’hui,lui
envie,vie
jours,secours
dire,inspire
inspire,esprit
esprit,l’aigrit
l’aigrit,salaire
salaire,défaire
dédains,desseins
possible,sensible
faire,contraire
contraire,dédaigner
dédaigner,gagner
elle,nouvelle
mouvement,événement
blême,j’aime
admirable,capable
abois,philis
oh,hom
lieux,yeux
yeux,structure
structure,nature
frais,jamais
tranquilles,villes
villes,embellis
embellis,d’élis
multitude,solitude
magnifique,publique
chars,regards
présence,magnificence
m’acquérir,courir
sorte,l’emporte
l’emporte,s’effaroucher
s’effaroucher,toucher
donne,personne
l’amour,cour
être,paraître
entretien,rien
flamme,âme
jour,l’amour
suivre,vivre
pris,cloris
conquêtes,bêtes
vous,doux
mortelle,cruelle
fidèle,elle
taisezvous,taisezvous
pareille,oreille
émaillés,dépouillés
appas,pas
perdue,rigueur
rigueur,cœur
extrême,aime
promptement,amant
cruelle,belle
victoire,bien
bien,moyen
armes,charmes
victoire,bien
bien,moyen
croire,fières
fières,charmer
charmer,bergères
bergères,aimer
suivre,s’enflammer
s’enflammer,vivre
vivre,aimer
seconde,monde
trois...,unissonsnous...
d’importance,excellence
rogne,tigne
peste,goutte
vend,dispense
dispense,assurance
rogne,tigne
peste,goutte
profondes,ondes
humides,néréides
néréides,divinités
divinités,beautés
beautés,belles
divinités,beautés
cour,jour
concerts,airs
regarder,répande
répande,inonder
inonder,commande
commande,débordement
trésors,bords
assurance,l’inconstance
le,inébranlable
appas,ébats
cour,l’amour
hélas,pas
effort,fort
bergers,d’empire
d’empire,secourir
bergère,sévère
sévère,ardeur
ardeur,persévère
persévère,froideur
froideur,affaires
affaires,mystères
hélas,pas
cœur,l’honneur
l’honneur,empire
tircis,soucis
soupire,martyre
redire,former
former,enflammer
contrainte,crainte
amoureux,heureux
contrainte,crainte
paupière,fraîcheur
fraîcheur,entière
entière,sévère
sévère,douceur
pas,pas
vainqueurs,cœurs
yeux,oiseaux
vainqueurs,cœurs
pas,hélas
misère,soupirer
soupirer,expirer
jour,l’amour
tendre,défendre
défendre,rendre
amitié,pitié
tendre,rigueur
rigueur,ardeur
préférence,indifférence
sortez,retraites
amour,ardeur
aimonsnous,doux
querelles,belles
tendresse,cesse
innocents,sens
soucie,d’envie
vieillissants,innocents
innocents,sens
innocents,sens
couronné,fortuné
voix,choix
cieux,précieux
subsiste,triste
glorieux,dieux
clartés,vantés
asseoir,voir
incomparable,inséparable
vœux,feux
pas,pas
garde,regarde
cœur,voleur
voleur,yeux
puissance,silence
jour,d’amour
d’amour,d’amour
chose,soppose
